epoch,loss,lr
1,5739020.666666667,9.954507322777874e-05
2,8136524.0,9.75153666946486e-05
3,5073362.916666667,9.382011735719631e-05
4,4831906.458333333,8.859023126544045e-05
5,5322106.833333333,8.201097974150255e-05
6,6541847.166666667,7.431543605065545e-05
7,4895149.958333333,6.577621866470393e-05
8,5071658.25,5.6695833616709155e-05
9,5972409.833333333,4.739595807395531e-05
10,7145428.333333333,3.820604476392881e-05
11,5820022.166666667,2.945165094720082e-05
12,7991417.0,2.1442905389167368e-05
13,7537102.666666667,1.4463521893922828e-05
14,5004535.333333333,8.760748601306375e-06
15,5129784.25,4.5366090982845e-06
16,4775346.875,1.940745632665342e-06
17,5106940.583333333,6.702441722696809e-05
18,6933983.0,9.97641060067062e-05
19,6833902.5,9.910722382883249e-05
20,5079219.25,9.801890049116202e-05
21,4989178.333333333,9.650879602868656e-05
22,5042296.041666667,9.459031423552114e-05
23,5890185.833333333,9.228048369187859e-05
24,5171251.833333333,8.959980661718606e-05
25,7931212.0,8.657207689093391e-05
26,5012628.041666667,8.3224168856517e-05
27,5579635.833333333,7.958579878266008e-05
28,8005287.666666667,7.568926109971287e-05
29,8006369.333333333,7.15691417520001e-05
30,7101107.333333333,6.726201121053114e-05
31,8955178.666666666,6.280609987091035e-05
32,5579395.166666667,5.82409587176393e-05
33,6044780.333333333,5.360710826677828e-05
34,5894718.333333333,4.894567890297721e-05
35,5616912.583333333,4.429804580326969e-05
36,4838935.291666667,3.970546168807249e-05
37,6355496.0,3.520869065911878e-05
38,7380404.5,3.084764637440524e-05
39,5895886.833333333,2.6661037771738046e-05
40,4694000.375,2.268602548546059e-05
41,4732014.708333333,1.8957892006032255e-05
42,5169758.75,1.5509728510145316e-05
43,5883520.666666667,1.2372141141098005e-05
44,7051712.833333333,9.572979346499856e-06
45,6729917.166666667,7.137088684603111e-06
46,6952841.0,5.086090293368849e-06
47,9614854.5,3.4381889797156877e-06
48,7586395.0,2.2080116323648943e-06
49,7693966.833333333,1.4064773925405255e-06
50,4933938.208333333,3.404070073489895e-05
51,4913638.541666667,9.997150561885448e-05
52,6729839.0,9.984334944161391e-05
53,4841044.625,9.960563868902256e-05
54,6791567.333333333,9.925890113839693e-05
55,5527840.583333333,9.880390663381014e-05
56,6835142.0,9.824166537684565e-05
57,5734102.5,9.757342568369699e-05
58,6429642.333333333,9.680067121359368e-05
59,4876762.333333333,9.592511767470678e-05
60,6751696.833333333,9.494870901484755e-05
61,4845168.041666667,9.387361310541735e-05
62,4975604.125,9.270221692819085e-05
63,5040870.458333333,9.143712127561963e-05
64,5006988.333333333,9.008113497642252e-05
65,5572381.333333333,8.863726865928348e-05
66,10322158.5,8.710872806850293e-05
67,6072865.0,8.549890694644384e-05
68,4938268.625,8.381137949857487e-05
69,6424543.833333333,8.204989245784055e-05
70,8146903.833333333,8.021835676597701e-05
71,6434501.666666667,7.832083889024344e-05
72,4794226.958333333,7.636155179484773e-05
73,5828824.166666667,7.434484558711249e-05
74,10102942.833333334,7.227519785914882e-05
75,6965595.666666667,7.015720374648216e-05
76,8383252.5,6.799556572570225e-05
77,11223940.333333334,6.579508317378911e-05
78,8498525.833333334,6.356064171229605e-05
79,6871178.666666667,6.129720236004785e-05
80,5224502.0,5.900979051843853e-05
81,6754476.0,5.6703484813783394e-05
82,4829502.958333333,5.43834058214986e-05
83,6607035.0,5.205470469714327e-05
84,5061491.5,4.972255173956585e-05
85,6867742.666666667,4.739212491154779e-05
86,5486398.75,4.506859834343125e-05
87,6670191.166666667,4.275713084525582e-05
88,4706500.875,4.0462854452910146e-05
89,5043292.375,3.81908630337288e-05
90,4849438.833333333,3.594620097683308e-05
91,4895604.5,3.373385199332548e-05
92,5648927.916666667,3.155872805120496e-05
93,7075414.0,2.9425658469569408e-05
94,5184293.75,2.733937919631972e-05
95,5035663.916666667,2.5304522293170996e-05
96,5618725.0,2.3325605651317223e-05
97,5078109.833333333,2.1407022960583013e-05
98,5523370.0,1.955303395433337e-05
99,6929350.5,1.776775495180046e-05
100,5754873.833333333,1.6055149718825416e-05
