epoch,loss,lr
1,19.3040288289388,9.954507322777874e-05
2,18.97248903910319,9.75153666946486e-05
3,16.593486467997234,9.382011735719631e-05
4,13.431964556376139,8.859023126544045e-05
5,12.151501655578613,8.201097974150255e-05
6,10.896546045939127,7.431543605065545e-05
7,9.131278196970621,6.577621866470393e-05
8,9.559002558390299,5.6695833616709155e-05
9,8.880779266357422,4.739595807395531e-05
10,8.683839797973633,3.820604476392881e-05
11,8.031033356984457,2.945165094720082e-05
12,7.982329845428467,2.1442905389167368e-05
13,8.352102120717367,1.4463521893922828e-05
14,8.208956718444824,8.760748601306375e-06
15,7.841966311136882,4.5366090982845e-06
16,8.67441495259603,1.940745632665342e-06
17,8.347546100616455,6.702441722696809e-05
18,7.418047269185384,9.97641060067062e-05
19,6.829738299051921,9.910722382883249e-05
20,7.0094068845113116,9.801890049116202e-05
21,6.222763538360596,9.650879602868656e-05
22,6.000456968943278,9.459031423552114e-05
23,6.116755962371826,9.228048369187859e-05
24,5.5952731768290205,8.959980661718606e-05
25,5.086887677510579,8.657207689093391e-05
26,5.298587322235107,8.3224168856517e-05
27,5.104844729105632,7.958579878266008e-05
28,4.918620586395264,7.568926109971287e-05
29,4.6300357182820635,7.15691417520001e-05
30,4.412881056467692,6.726201121053114e-05
31,4.456647237141927,6.280609987091035e-05
32,4.517332553863525,5.82409587176393e-05
33,4.357019901275635,5.360710826677828e-05
34,4.214709440867106,4.894567890297721e-05
35,4.172118028004964,4.429804580326969e-05
36,4.317231814066569,3.970546168807249e-05
37,4.036529699961345,3.520869065911878e-05
38,4.062153418858846,3.084764637440524e-05
39,4.039598862330119,2.6661037771738046e-05
40,4.059811353683472,2.268602548546059e-05
41,3.999725659688314,1.8957892006032255e-05
42,3.942643642425537,1.5509728510145316e-05
43,4.124128500620524,1.2372141141098005e-05
44,4.129663626352946,9.572979346499856e-06
45,3.977190891901652,7.137088684603111e-06
46,4.126750787099202,5.086090293368849e-06
47,4.138036251068115,3.4381889797156877e-06
48,4.045491854349772,2.2080116323648943e-06
49,4.097855726877849,1.4064773925405255e-06
50,4.0659182866414385,3.404070073489895e-05
51,4.024144649505615,9.997150561885448e-05
52,3.979068915049235,9.984334944161391e-05
53,3.9787391821543374,9.960563868902256e-05
54,3.9786535104115806,9.925890113839693e-05
55,3.9009405771891275,9.880390663381014e-05
56,4.046854496002197,9.824166537684565e-05
57,4.009345054626465,9.757342568369699e-05
58,3.9205421606699624,9.680067121359368e-05
59,3.888699928919474,9.592511767470678e-05
60,3.9792425632476807,9.494870901484755e-05
61,3.7883625825246177,9.387361310541735e-05
62,3.6778706709543862,9.270221692819085e-05
63,3.8603366216023765,9.143712127561963e-05
64,3.6360029379526773,9.008113497642252e-05
65,3.784130096435547,8.863726865928348e-05
66,3.9263153076171875,8.710872806850293e-05
67,3.8891395727793374,8.549890694644384e-05
68,3.7393009662628174,8.381137949857487e-05
69,3.891549905141195,8.204989245784055e-05
70,3.851117213567098,8.021835676597701e-05
71,3.7992006142934165,7.832083889024344e-05
72,3.7133429050445557,7.636155179484773e-05
73,3.8786727587381997,7.434484558711249e-05
74,3.997943957646688,7.227519785914882e-05
75,3.875174601872762,7.015720374648216e-05
76,4.028597434361775,6.799556572570225e-05
77,4.030908107757568,6.579508317378911e-05
78,3.992031971613566,6.356064171229605e-05
79,3.868899663289388,6.129720236004785e-05
80,3.6026245752970376,5.900979051843853e-05
81,3.94305149714152,5.6703484813783394e-05
82,3.5756259759267173,5.43834058214986e-05
83,3.778945525487264,5.205470469714327e-05
84,3.591944615046183,4.972255173956585e-05
85,3.71067214012146,4.739212491154779e-05
86,3.896127462387085,4.506859834343125e-05
87,3.930894215901693,4.275713084525582e-05
88,3.6721914609273276,4.0462854452910146e-05
89,3.8461034297943115,3.81908630337288e-05
90,3.5858675638834634,3.594620097683308e-05
91,3.620588541030884,3.373385199332548e-05
92,3.7479270299275718,3.155872805120496e-05
93,3.882571220397949,2.9425658469569408e-05
94,3.7034196853637695,2.733937919631972e-05
95,3.732372283935547,2.5304522293170996e-05
96,4.097923040390015,2.3325605651317223e-05
97,3.6168576081593833,2.1407022960583013e-05
98,3.9518374601999917,1.955303395433337e-05
99,3.797541936238607,1.776775495180046e-05
100,3.7783710956573486,1.6055149718825416e-05
