epoch,loss,lr
1,19.483631134033203,9.954507322777874e-05
2,20.197701772054035,9.75153666946486e-05
3,15.786691029866537,9.382011735719631e-05
4,13.70380973815918,8.859023126544045e-05
5,12.023155212402344,8.201097974150255e-05
6,9.925689220428467,7.431543605065545e-05
7,10.23699919382731,6.577621866470393e-05
8,9.398962338765463,5.6695833616709155e-05
9,9.079113642374674,4.739595807395531e-05
10,8.317789554595947,3.820604476392881e-05
11,8.200358231862387,2.945165094720082e-05
12,8.524158795674643,2.1442905389167368e-05
13,8.338985443115234,1.4463521893922828e-05
14,7.945146560668945,8.760748601306375e-06
15,8.750431378682455,4.5366090982845e-06
16,8.411609490712484,1.940745632665342e-06
17,7.76553996404012,6.702441722696809e-05
18,7.259104092915853,9.97641060067062e-05
19,7.427784442901611,9.910722382883249e-05
20,6.54869810740153,9.801890049116202e-05
21,6.2978776295979815,9.650879602868656e-05
22,6.4312849044799805,9.459031423552114e-05
23,5.938989162445068,9.228048369187859e-05
24,5.373133500417073,8.959980661718606e-05
25,5.692495187123616,8.657207689093391e-05
26,5.438686688741048,8.3224168856517e-05
27,5.191449801127116,7.958579878266008e-05
28,4.792154312133789,7.568926109971287e-05
29,4.555831432342529,7.15691417520001e-05
30,4.578282356262207,6.726201121053114e-05
31,4.620086034138997,6.280609987091035e-05
32,4.4331135749816895,5.82409587176393e-05
33,4.298549811045329,5.360710826677828e-05
34,4.238428592681885,4.894567890297721e-05
35,4.402706464131673,4.429804580326969e-05
36,4.0825440883636475,3.970546168807249e-05
37,4.09544563293457,3.520869065911878e-05
38,4.073103904724121,3.084764637440524e-05
39,4.062945127487183,2.6661037771738046e-05
40,4.0096668402353925,2.268602548546059e-05
41,3.9785237312316895,1.8957892006032255e-05
42,4.147029717763265,1.5509728510145316e-05
43,4.143425623575847,1.2372141141098005e-05
44,3.9877854188283286,9.572979346499856e-06
45,4.130338191986084,7.137088684603111e-06
46,4.149250825246175,5.086090293368849e-06
47,4.056315739949544,3.4381889797156877e-06
48,4.105894565582275,2.2080116323648943e-06
49,4.08447806040446,1.4064773925405255e-06
50,4.055447578430176,3.404070073489895e-05
51,3.9843098322550454,9.997150561885448e-05
52,4.004703998565674,9.984334944161391e-05
53,3.9922552903493247,9.960563868902256e-05
54,3.8940712610880532,9.925890113839693e-05
55,4.051135301589966,9.880390663381014e-05
56,4.0342129071553545,9.824166537684565e-05
57,3.9165236155192056,9.757342568369699e-05
58,3.931929588317871,9.680067121359368e-05
59,4.014782587687175,9.592511767470678e-05
60,3.860152244567871,9.494870901484755e-05
61,3.7262543042500815,9.387361310541735e-05
62,3.864433685938517,9.270221692819085e-05
63,3.664964040120443,9.143712127561963e-05
64,3.8251756032307944,9.008113497642252e-05
65,3.9297115008036294,8.863726865928348e-05
66,3.9119115670522056,8.710872806850293e-05
67,3.7309535344441733,8.549890694644384e-05
68,3.876837174097697,8.381137949857487e-05
69,3.8407699267069497,8.204989245784055e-05
70,3.797653913497925,8.021835676597701e-05
71,3.701300541559855,7.832083889024344e-05
72,3.8714305559794107,7.636155179484773e-05
73,3.974003473917643,7.434484558711249e-05
74,3.8870259126027427,7.227519785914882e-05
75,3.985617160797119,7.015720374648216e-05
76,4.060296694437663,6.799556572570225e-05
77,4.003785451253255,6.579508317378911e-05
78,3.8343023459116616,6.356064171229605e-05
79,3.605262120564779,6.129720236004785e-05
80,3.9330523014068604,5.900979051843853e-05
