epoch,loss,lr
1,19.483631134033203,9.954507322777874e-05
2,20.197704315185547,9.75153666946486e-05
3,15.786686579386393,9.382011735719631e-05
4,13.703841845194498,8.859023126544045e-05
5,12.023107210795084,8.201097974150255e-05
6,9.92570702234904,7.431543605065545e-05
7,10.236983299255371,6.577621866470393e-05
8,9.398925145467123,5.6695833616709155e-05
9,9.079076131184896,4.739595807395531e-05
10,8.317725817362467,3.820604476392881e-05
11,8.20030419031779,2.945165094720082e-05
12,8.524082978566488,2.1442905389167368e-05
13,8.338921705881754,1.4463521893922828e-05
14,7.945077419281006,8.760748601306375e-06
15,8.75044059753418,4.5366090982845e-06
16,8.41153621673584,1.940745632665342e-06
17,7.7654768625895185,6.702441722696809e-05
18,7.259051322937012,9.97641060067062e-05
19,7.4277933438618975,9.910722382883249e-05
20,6.548776467641194,9.801890049116202e-05
21,6.298000653584798,9.650879602868656e-05
22,6.431350231170654,9.459031423552114e-05
23,5.939002990722656,9.228048369187859e-05
24,5.373119036356608,8.959980661718606e-05
25,5.6923394203186035,8.657207689093391e-05
26,5.438150723775228,8.3224168856517e-05
27,5.19081179300944,7.958579878266008e-05
28,4.791756312052409,7.568926109971287e-05
29,4.5556074778238935,7.15691417520001e-05
30,4.578126112620036,6.726201121053114e-05
31,4.619876702626546,6.280609987091035e-05
32,4.433020909627278,5.82409587176393e-05
33,4.298465410868327,5.360710826677828e-05
34,4.238354047139485,4.894567890297721e-05
35,4.402617613474528,4.429804580326969e-05
36,4.082514921824138,3.970546168807249e-05
37,4.095378398895264,3.520869065911878e-05
38,4.073084274927775,3.084764637440524e-05
39,4.063007513682048,2.6661037771738046e-05
40,4.009647766749064,2.268602548546059e-05
41,3.9784855047861734,1.8957892006032255e-05
42,4.146973133087158,1.5509728510145316e-05
43,4.14340353012085,1.2372141141098005e-05
44,3.9877875645955405,9.572979346499856e-06
45,4.130306243896484,7.137088684603111e-06
46,4.149227937062581,5.086090293368849e-06
47,4.056289831797282,3.4381889797156877e-06
48,4.105889956156413,2.2080116323648943e-06
49,4.084421157836914,1.4064773925405255e-06
50,4.055421829223633,3.404070073489895e-05
51,3.9843103090922036,9.997150561885448e-05
52,4.0046946207682295,9.984334944161391e-05
53,3.99224845568339,9.960563868902256e-05
54,3.8940931955973306,9.925890113839693e-05
55,4.051153182983398,9.880390663381014e-05
56,4.0341934363047285,9.824166537684565e-05
57,3.91652242342631,9.757342568369699e-05
58,3.93192458152771,9.680067121359368e-05
59,4.014791329701741,9.592511767470678e-05
60,3.8601858615875244,9.494870901484755e-05
61,3.726201057434082,9.387361310541735e-05
62,3.8644563357035318,9.270221692819085e-05
63,3.664933522542318,9.143712127561963e-05
64,3.825265089670817,9.008113497642252e-05
65,3.9297608534495034,8.863726865928348e-05
66,3.9119158585866294,8.710872806850293e-05
67,3.7309840520222983,8.549890694644384e-05
68,3.8767950534820557,8.381137949857487e-05
69,3.8408817450205484,8.204989245784055e-05
70,3.797656536102295,8.021835676597701e-05
71,3.7012883027394614,7.832083889024344e-05
72,3.8714610735575357,7.636155179484773e-05
73,3.974128325780233,7.434484558711249e-05
74,3.887119690577189,7.227519785914882e-05
75,3.9856220881144204,7.015720374648216e-05
76,4.060209274291992,6.799556572570225e-05
77,4.00370208422343,6.579508317378911e-05
78,3.834428389867147,6.356064171229605e-05
79,3.605173110961914,6.129720236004785e-05
80,3.933029810587565,5.900979051843853e-05
